eV_,TotalSpec_NEXAFS,E_55,ZnPc_55
287.22361181,8.3022982e+08,306.2998,1.8550116
287.24362181,8.2629568e+08,306.40073,1.8401178
287.26363182,8.2386227e+08,306.50018,1.8255225
287.28364182,8.2277971e+08,306.59991,1.8152452
287.30365183,8.2289152e+08,306.6998,1.8029699
287.32366183,8.2403878e+08,306.79413,1.7912997
287.34367184,8.2606355e+08,306.90009,1.7745115
287.36368184,8.288119e+08,307.00034,1.7638141
287.38369185,8.3213613e+08,307.09979,1.7515266
287.40370185,8.358967e+08,307.20126,1.7384217
287.42371186,8.3996371e+08,307.30026,1.7260292
287.44372186,8.4421773e+08,307.40002,1.7160941
287.46373187,8.4855046e+08,307.49585,1.7040367
287.48374187,8.5286445e+08,307.59998,1.6880509
287.50375188,8.5707392e+08,307.69812,1.6807886
287.52376188,8.6110387e+08,307.80344,1.6679976
287.54377189,8.6488973e+08,307.90005,1.6573883
287.56378189,8.6837709e+08,308.00003,1.6422079
287.5837919,8.7152115e+08,308.10004,1.6347016
287.6038019,8.7428595e+08,308.19998,1.6253568
287.62381191,8.766439e+08,308.3006,1.6127443
287.64382191,8.7857549e+08,308.40042,1.5983541
287.66383192,8.8006842e+08,308.49887,1.5931919
287.68384192,8.8111731e+08,308.60071,1.5814898
287.70385193,8.8172333e+08,308.70038,1.5691525
287.72386193,8.8189376e+08,308.80106,1.5618104
287.74387194,8.8164173e+08,308.90033,1.5512733
287.76388194,8.8098547e+08,309.00049,1.5406026
287.78389195,8.7994867e+08,309.10043,1.5276841
287.80390195,8.7855942e+08,309.20001,1.5219564
287.82391196,8.768505e+08,309.30054,1.5118607
287.84392196,8.7485837e+08,309.3999,1.5019684
287.86393197,8.7262362e+08,309.49994,1.4888381
287.88394197,8.7018982e+08,309.60004,1.4841924
287.90395198,8.676032e+08,309.70032,1.475616
287.92396198,8.6491283e+08,309.80093,1.4657764
287.94397199,8.6216934e+08,309.90073,1.4550785
287.96398199,8.5942502e+08,310.00006,1.4499242
287.983992,8.5673293e+08,310.0993,1.4425675
288.004002,8.5414669e+08,310.20227,1.4335368
288.02401201,8.5171974e+08,310.30011,1.4211261
288.04402201,8.4950502e+08,310.40027,1.4180315
288.06403202,8.4755424e+08,310.50064,1.410289
288.08404202,8.459177e+08,310.59778,1.4029226
288.10405203,8.4464358e+08,310.70035,1.3919665
288.12406203,8.4377773e+08,310.80035,1.3874444
288.14407204,8.4336301e+08,310.89951,1.3813187
288.16408204,8.434393e+08,311.00034,1.373989
288.18409205,8.4404301e+08,311.10016,1.3645928
288.20410205,8.4520666e+08,311.2002,1.3619796
288.22411206,8.4695923e+08,311.30197,1.3547931
288.24412206,8.4932518e+08,311.3989,1.349138
288.26413207,8.5232538e+08,311.4996,1.3414788
288.28414207,8.5597581e+08,311.60031,1.3382827
288.30415208,8.602889e+08,311.70032,1.3321934
288.32416208,8.6527245e+08,311.80096,1.326968
288.34417209,8.7093043e+08,311.90021,1.3200287
288.36418209,8.7726272e+08,311.99997,1.3186744
288.3841921,8.8426534e+08,312.09677,1.3132895
288.4042021,8.9193101e+08,312.20016,1.3058901
288.42421211,9.0024845e+08,312.29514,1.3058552
288.44422211,9.0920365e+08,312.40076,1.3005344
288.46423212,9.1877965e+08,312.49918,1.2956229
288.48424212,9.289568e+08,312.60266,1.2876954
288.50425213,9.3971277e+08,312.70081,1.2885628
288.52426213,9.5102349e+08,312.79984,1.285176
