{1=sample1,2=KM3245432}
Axis Photonique
Scan Type: From File
W:\Collins\2026Feb\.macro\znpc_fixed_angle_10_.txt
Delay After Move (s): 0.00000000
Stay at End: 0
Curvature: 0.0
Clip to ROI: No
ROI: 1309 526 2539 1627
Background ROI: None
Data File Path: C:\Beamline Controls\BCS Setup Data\260211\CCD Scan 88169
Time	Frame #	Sample X	Sample Y	Sample Z	Sample Theta	CCD Theta	Beamline Energy	Higher Order Suppressor	EPU Polarization	Coolstage Temp C	CCD Temperature	Beam Current	TEY signal	Izero	Photodiode	AI 0	AI 3 Izero	AI 5	AI 6 BeamStop	AI 7	Temperature Controller	PZT Shutter	Pause Trigger	LV Memory	Deriv Photodiode	Time Stamp Error	Time Stamp Transmit Time	Time Stamp Server Time	Camera Temp Setpoint	Total Flux	Counts	Background	Filename
23:26:01	148.00000000	26.67000000	98.86000000	4.04500000	10.00000000	20.00000000	291.69345054	10.09999346	190.00000000	0.00000000	0.00000000	426.33212561	-0.00157930	-0.20491370	-0.09835249	1.00372054	-0.01649326	-0.01730429	-0.90887938	0.00016254	298.68538090	0.00000000	0.00000000	483432.00000000	0.00105615	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	31705944.00000000	0.00000000	znpc_10_p_88169-00148
23:26:05	149.00000000	26.68000000	98.86000000	4.04500000	10.00000000	20.00000000	291.80114633	10.09999346	190.00000000	0.00000000	0.00000000	426.26941199	-0.00160933	-0.20891789	-0.09837770	1.00673322	-0.01658876	-0.01639233	-0.90500011	0.00015514	298.66768231	0.00000000	0.00000000	481524.00000000	0.00109113	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	31731486.00000000	0.00000000	znpc_10_p_88169-00149
23:26:09	150.00000000	26.69000000	98.86000000	4.04500000	10.00000000	20.00000000	291.90122103	10.09999346	190.00000000	0.00000000	0.00000000	426.20860571	-0.00160404	-0.20636349	-0.09831471	1.00190107	-0.01657216	-0.01709455	-0.90565761	0.00016698	298.65103495	0.00000000	0.00000000	482548.00000000	0.00000000	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	31736577.00000000	0.00000000	znpc_10_p_88169-00150
23:26:14	151.00000000	26.70000000	98.86000000	4.04500000	10.00000000	20.00000000	291.99622737	10.09999346	190.00000000	0.00000000	0.00000000	426.14612097	-0.00156510	-0.21151831	-0.09864882	1.00616842	-0.01650296	-0.01665944	-0.89706077	0.00016599	298.65373111	0.00000000	0.00000000	482616.00000000	0.00104191	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	31740392.00000000	0.00000000	znpc_10_p_88169-00151
23:26:18	152.00000000	26.71000000	98.86000000	4.04500000	10.00000000	20.00000000	292.09900674	10.09999346	190.00000000	0.00000000	0.00000000	426.51088232	-0.00158353	-0.20551202	-0.09871684	1.00249496	-0.01640729	-0.01752307	-0.88443671	0.00016106	298.66734044	0.00000000	0.00000000	484408.00000000	0.00000000	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	31771713.00000000	0.00000000	znpc_10_p_88169-00152
23:26:22	153.00000000	26.72000000	98.86000000	4.04500000	10.00000000	20.00000000	292.20700323	10.09999346	190.00000000	0.00000000	0.00000000	426.45015234	-0.00160613	-0.20642102	-0.09813890	0.99979969	-0.01666914	-0.01736807	-0.89056793	0.00017224	298.67976508	0.00000000	0.00000000	482976.00000000	0.00000000	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	31753814.00000000	0.00000000	znpc_10_p_88169-00153
23:26:26	154.00000000	26.73000000	98.86000000	4.04500000	10.00000000	20.00000000	292.30220940	10.09999346	190.00000000	0.00000000	0.00000000	426.38606543	-0.00156811	-0.20626158	-0.09831156	0.99910043	-0.01663857	-0.01695795	-0.89341163	0.00016352	298.68217973	0.00000000	0.00000000	487240.00000000	0.00000000	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	31738096.00000000	0.00000000	znpc_10_p_88169-00154
23:26:30	155.00000000	26.74000000	98.86000000	4.04500000	10.00000000	20.00000000	292.40005352	10.09999346	190.00000000	0.00000000	0.00000000	426.61441321	-0.00156602	-0.21029207	-0.09827636	1.00035117	-0.01659189	-0.01690568	-0.90245229	0.00018489	298.64894631	0.00000000	0.00000000	482560.00000000	0.00106614	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	31774480.00000000	0.00000000	znpc_10_p_88169-00155
23:26:34	156.00000000	26.75000000	98.86000000	4.04500000	10.00000000	20.00000000	292.49796337	10.09999346	190.00000000	0.00000000	0.00000000	426.54727454	-0.00158589	-0.20914801	-0.09858243	1.00504508	-0.01641189	-0.01740456	-0.91277508	0.00013213	298.69119493	0.00000000	0.00000000	483100.00000000	0.00104362	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	31848957.00000000	0.00000000	znpc_10_p_88169-00156
23:26:38	157.00000000	26.76000000	98.86000000	4.04500000	10.00000000	20.00000000	292.60625608	10.09999346	190.00000000	0.00000000	0.00000000	426.48033700	-0.00159798	-0.21276428	-0.09823741	1.00227140	-0.01643737	-0.01721898	-0.90301116	0.00014972	298.74047078	0.00000000	0.00000000	483240.00000000	0.00000000	-0.00421000	0.98928141	0.01071859	25.00000000	0.00000000	31930272.00000000	0.00000000	znpc_10_p_88169-00157
