energy,n_xx,n_ixx,n_zz,n_izz
13.45625,-0.08869473907661696,0.3770793805359281,-0.08952677242103363,0.3770793805359281
13.5642,-0.08491534112771315,0.3785486426216629,-0.08573428147771647,0.3785486426216629
13.7836,-0.07842379589430848,0.38085050540966436,-0.07921706748060815,0.38085050540966436
14.0066,-0.07245236317923139,0.38409202428621864,-0.07322077113397364,0.38409202428621864
14.2331,-0.0659420096883948,0.3875208827117677,-0.06668635065476779,0.3875208827117677
14.3482,-0.06236361363121283,0.3893176721713396,-0.06309615898009839,0.3893176721713396
14.4633,-0.05836576115873683,0.3910084091725171,-0.05908679139216094,0.3910084091725171
14.580300000000001,-0.0541102781631207,0.3921440855589924,-0.054819881590834646,0.3921440855589924
14.6973,-0.049568571600723685,0.3931941851377993,-0.050267020043051815,0.3931941851377993
14.81615,-0.04512476320857492,0.39295256756902563,-0.04581214978223622,0.39295256756902563
14.935,-0.04141738314797719,0.3926688108902031,-0.04209397089944355,0.3926688108902031
15.1765,-0.03462968400341435,0.3924040469439291,-0.035285105228863876,0.3924040469439291
15.422,-0.02822661227904562,0.39226947171302123,-0.02886152757141999,0.39226947171302123
15.6714,-0.021991343038772978,0.39221794493562573,-0.022606405660742224,0.39221794493562573
15.9,-0.016273586602637932,0.39225235206629006,-0.016871266807558627,0.39225235206629006
15.9249,-0.015605120200010862,0.3922462183188964,-0.016200952124338808,0.3922462183188964
16.1,-0.011250648199154376,0.3916909689299869,-0.011833724038946268,0.3916909689299869
16.1825,-0.009086036133195525,0.3914058333856587,-0.009663244839001413,0.3914058333856587
16.247925000000002,-0.0075299061209443885,0.39043338419360957,-0.008102525417910804,0.39043338419360957
16.31335,-0.006540387931052635,0.38946391287471466,-0.0071084729301116225,0.38946391287471466
16.378774999999997,-0.006007296110804153,0.3884974412993761,-0.006570901044699568,0.3884974412993761
16.4114875,-0.005964532356515741,0.3880153369042214,-0.006525917324946949,0.3880153369042214
16.4442,-0.006240563894917588,0.38753399007761863,-0.006799742134497293,0.38753399007761863
16.577199999999998,-0.0074363707752860475,0.3878023180831963,-0.00798671120101516,0.3878023180831963
16.61045,-0.007980674211409572,0.38786029434910274,-0.0085288382908059,0.38786029434910274
16.6437,-0.008827548913104522,0.3879147123377363,-0.009373549677452008,0.3879147123377363
16.676949999999998,-0.010227363152246352,0.3879656131902039,-0.010771213529204104,0.3879656131902039
16.693575,-0.011343990728858173,0.38798975741412683,-0.011886770727916237,0.38798975741412683
16.701887499999998,-0.01212906094966795,0.3880015051840819,-0.012671306958147718,0.3880015051840819
16.7102,-0.013395333127621067,0.3880130375624225,-0.013937045942209531,0.3880130375624225
16.718646875,-0.01465915127166433,0.3891669386374772,-0.015200323087557142,0.3891669386374772
16.72709375,-0.015401807187474352,0.3903183116140239,-0.015942438824012126,0.3903183116140239
16.7439875,-0.01633335837345648,0.39261349681686425,-0.016872912103487427,0.39261349681686425
16.760881249999997,-0.016817152212924322,0.39489864010134396,-0.017355631294332558,0.39489864010134396
16.777775,-0.016983888569995276,0.39717378814276105,-0.01752129624787737,0.39717378814276105
